date,code,side,price,shares,amount,fee,pnl
2026-02-12,688766,buy,275.066,356,97923.56,123.38,0.0
2026-02-12,688002,buy,115.294,850,97999.96,123.48,0.0
2026-02-12,300408,buy,58.731,1668,97963.56,123.43,0.0
2026-02-12,300054,buy,45.982,2131,97986.64,123.46,0.0
2026-02-12,688019,buy,205.982,475,97841.53,123.28,0.0
2026-02-13 00:00:00,688019,sell,203.223,475,96531.09,169.89,-1480.34
2026-02-13,688019,buy,203.63,477,97131.6,122.39,0.0
2026-02-24 00:00:00,688019,sell,208.186,477,99304.9,174.78,1998.52
2026-02-25 00:00:00,688766,sell,252.425,356,89863.31,158.16,-8218.41
2026-02-27,688019,buy,206.351,474,97810.42,123.24,0.0
2026-02-27,688766,buy,259.685,377,97901.32,123.36,0.0
2026-03-02 00:00:00,688019,sell,202.51,474,95989.72,168.94,-1989.65
2026-03-02 00:00:00,688766,sell,256.67,377,96764.43,170.31,-1307.2
2026-03-03 00:00:00,688002,sell,110.058,850,93549.59,164.65,-4615.02
2026-03-03 00:00:00,300054,sell,42.307,2131,90157.26,158.68,-7988.05
2026-03-06,300054,buy,42.702,2238,95567.37,120.41,0.0
2026-03-06,688766,buy,253.481,377,95562.26,120.41,0.0
2026-03-06,688002,buy,107.132,892,95561.36,120.41,0.0
2026-03-06,688019,buy,190.079,502,95419.88,120.23,0.0
2026-03-09 00:00:00,300408,sell,56.626,1668,94452.54,166.24,-3677.26
2026-03-09 00:00:00,300054,sell,41.509,2238,92897.67,163.5,-2833.2
2026-03-09 00:00:00,688766,sell,250.677,377,94505.34,166.33,-1223.25
2026-03-09 00:00:00,688002,sell,106.598,892,95085.82,167.35,-642.89
2026-03-09 00:00:00,688019,sell,187.874,502,94312.75,165.99,-1273.12
2026-03-13,300054,buy,46.211,2047,94594.91,119.19,0.0
2026-03-13,688766,buy,244.174,387,94495.39,119.06,0.0
2026-03-13,688002,buy,103.505,913,94499.98,119.07,0.0
2026-03-13,688019,buy,181.994,519,94454.66,119.01,0.0
2026-03-13,300408,buy,54.559,1733,94550.45,119.13,0.0
2026-03-16 00:00:00,688002,sell,104.694,913,95585.64,168.23,917.43
2026-03-16 00:00:00,688019,sell,184.522,519,95766.84,168.55,1143.63
2026-03-16 00:00:00,300408,sell,54.718,1733,94826.54,166.89,109.2
2026-03-20,688002,buy,100.907,951,95962.83,120.91,0.0
2026-03-20,688019,buy,178.535,537,95873.18,120.8,0.0
2026-03-20,300408,buy,54.27,1768,95949.45,120.9,0.0
2026-03-23 00:00:00,300054,sell,42.018,2047,86011.1,151.38,-8735.19
2026-03-23 00:00:00,688002,sell,97.126,951,92366.96,162.57,-3758.44
2026-03-23 00:00:00,688019,sell,168.344,537,90400.76,159.11,-5631.52
2026-03-23 00:00:00,300408,sell,50.803,1768,89819.01,158.08,-6288.53
2026-03-25 00:00:00,688766,sell,255.681,387,98948.49,174.15,4278.94
2026-03-27,300054,buy,53.06,1747,92696.21,116.8,0.0
2026-03-27,688766,buy,240.341,385,92531.44,116.59,0.0
2026-03-27,688019,buy,189.926,488,92683.75,116.78,0.0
2026-03-27,688002,buy,101.107,917,92715.22,116.82,0.0
2026-03-27,300408,buy,54.609,1698,92725.43,116.83,0.0
2026-03-30 00:00:00,688766,sell,238.793,385,91935.15,161.81,-758.1
2026-03-30 00:00:00,688002,sell,103.488,917,94898.08,167.02,2015.84
2026-03-30 00:00:00,300408,sell,53.764,1698,91291.45,160.67,-1594.66
2026-04-03,688002,buy,102.096,904,92294.96,116.29,0.0
2026-04-03,688766,buy,218.936,421,92172.12,116.14,0.0
